age,work,fnlwgt,edu_num,relation,race,sex,cap_gain,cap_loss,hours,salary
39, State-gov,77516,13, Not-in-family, White, Male,2174,0,40, <=50K
50, Self-emp-not-inc,83311,13, Husband, White, Male,0,0,13, <=50K
38, Private,215646,9, Not-in-family, White, Male,0,0,40, <=50K
53, Private,234721,7, Husband, Black, Male,0,0,40, <=50K
28, Private,338409,13, Wife, Black, Female,0,0,40, <=50K
37, Private,284582,14, Wife, White, Female,0,0,40, <=50K
49, Private,160187,5, Not-in-family, Black, Female,0,0,16, <=50K
52, Self-emp-not-inc,209642,9, Husband, White, Male,0,0,45, >50K
31, Private,45781,14, Not-in-family, White, Female,14084,0,50, >50K
42, Private,159449,13, Husband, White, Male,5178,0,40, >50K
37, Private,280464,10, Husband, Black, Male,0,0,80, >50K
30, State-gov,141297,13, Husband, Asian-Pac-Islander, Male,0,0,40, >50K
23, Private,122272,13, Own-child, White, Female,0,0,30, <=50K
32, Private,205019,12, Not-in-family, Black, Male,0,0,50, <=50K
40, Private,121772,11, Husband, Asian-Pac-Islander, Male,0,0,40, >50K
34, Private,245487,4, Husband, Amer-Indian-Eskimo, Male,0,0,45, <=50K
25, Self-emp-not-inc,176756,9, Own-child, White, Male,0,0,35, <=50K
32, Private,186824,9, Unmarried, White, Male,0,0,40, <=50K
38, Private,28887,7, Husband, White, Male,0,0,50, <=50K
43, Self-emp-not-inc,292175,14, Unmarried, White, Female,0,0,45, >50K
40, Private,193524,16, Husband, White, Male,0,0,60, >50K
54, Private,302146,9, Unmarried, Black, Female,0,0,20, <=50K
35, Federal-gov,76845,5, Husband, Black, Male,0,0,40, <=50K
43, Private,117037,7, Husband, White, Male,0,2042,40, <=50K
59, Private,109015,9, Unmarried, White, Female,0,0,40, <=50K
56, Local-gov,216851,13, Husband, White, Male,0,0,40, >50K
19, Private,168294,9, Own-child, White, Male,0,0,40, <=50K
54, ?,180211,10, Husband, Asian-Pac-Islander, Male,0,0,60, >50K
39, Private,367260,9, Not-in-family, White, Male,0,0,80, <=50K
49, Private,193366,9, Husband, White, Male,0,0,40, <=50K
23, Local-gov,190709,12, Not-in-family, White, Male,0,0,52, <=50K
20, Private,266015,10, Own-child, Black, Male,0,0,44, <=50K
45, Private,386940,13, Own-child, White, Male,0,1408,40, <=50K
30, Federal-gov,59951,10, Own-child, White, Male,0,0,40, <=50K
22, State-gov,311512,10, Husband, Black, Male,0,0,15, <=50K
48, Private,242406,7, Unmarried, White, Male,0,0,40, <=50K
21, Private,197200,10, Own-child, White, Male,0,0,40, <=50K
19, Private,544091,9, Wife, White, Female,0,0,25, <=50K
31, Private,84154,10, Husband, White, Male,0,0,38, >50K
48, Self-emp-not-inc,265477,12, Husband, White, Male,0,0,40, <=50K
31, Private,507875,5, Husband, White, Male,0,0,43, <=50K
53, Self-emp-not-inc,88506,13, Husband, White, Male,0,0,40, <=50K
24, Private,172987,13, Husband, White, Male,0,0,50, <=50K
49, Private,94638,9, Unmarried, White, Female,0,0,40, <=50K
25, Private,289980,9, Not-in-family, White, Male,0,0,35, <=50K
57, Federal-gov,337895,13, Husband, Black, Male,0,0,40, >50K
53, Private,144361,9, Husband, White, Male,0,0,38, <=50K
44, Private,128354,14, Unmarried, White, Female,0,0,40, <=50K
41, State-gov,101603,11, Husband, White, Male,0,0,40, <=50K
29, Private,271466,11, Not-in-family, White, Male,0,0,43, <=50K
25, Private,32275,10, Wife, Other, Female,0,0,40, <=50K
18, Private,226956,9, Own-child, White, Female,0,0,30, <=50K
47, Private,51835,15, Wife, White, Female,0,1902,60, >50K
50, Federal-gov,251585,13, Not-in-family, White, Male,0,0,55, >50K
47, Self-emp-inc,109832,9, Not-in-family, White, Male,0,0,60, <=50K
43, Private,237993,10, Husband, White, Male,0,0,40, >50K
46, Private,216666,3, Husband, White, Male,0,0,40, <=50K
35, Private,56352,11, Husband, White, Male,0,0,40, <=50K
41, Private,147372,9, Husband, White, Male,0,0,48, <=50K
30, Private,188146,9, Husband, White, Male,5013,0,40, <=50K
30, Private,59496,13, Husband, White, Male,2407,0,40, <=50K
32, ?,293936,4, Not-in-family, White, Male,0,0,40, <=50K
48, Private,149640,9, Husband, White, Male,0,0,40, <=50K
42, Private,116632,16, Husband, White, Male,0,0,45, >50K
29, Private,105598,10, Not-in-family, White, Male,0,0,58, <=50K
36, Private,155537,9, Husband, White, Male,0,0,40, <=50K
28, Private,183175,10, Not-in-family, White, Female,0,0,40, <=50K
53, Private,169846,9, Wife, White, Female,0,0,40, >50K
49, Self-emp-inc,191681,10, Husband, White, Male,0,0,50, >50K
25, ?,200681,10, Own-child, White, Male,0,0,40, <=50K
19, Private,101509,10, Own-child, White, Male,0,0,32, <=50K
31, Private,309974,13, Own-child, Black, Female,0,0,40, <=50K
29, Self-emp-not-inc,162298,13, Husband, White, Male,0,0,70, >50K
23, Private,211678,10, Not-in-family, White, Male,0,0,40, <=50K
79, Private,124744,10, Other-relative, White, Male,0,0,20, <=50K
27, Private,213921,9, Own-child, White, Male,0,0,40, <=50K
40, Private,32214,12, Husband, White, Male,0,0,40, <=50K
67, ?,212759,6, Husband, White, Male,0,0,2, <=50K
18, Private,309634,7, Own-child, White, Female,0,0,22, <=50K
31, Local-gov,125927,4, Husband, White, Male,0,0,40, <=50K
18, Private,446839,9, Not-in-family, White, Male,0,0,30, <=50K
52, Private,276515,13, Husband, White, Male,0,0,40, <=50K
46, Private,51618,9, Wife, White, Female,0,0,40, <=50K
59, Private,159937,9, Husband, White, Male,0,0,48, <=50K
44, Private,343591,9, Not-in-family, White, Female,14344,0,40, >50K
53, Private,346253,9, Own-child, White, Female,0,0,35, <=50K
49, Local-gov,268234,9, Husband, White, Male,0,0,40, >50K
33, Private,202051,14, Husband, White, Male,0,0,50, <=50K
30, Private,54334,5, Not-in-family, White, Male,0,0,40, <=50K
43, Federal-gov,410867,16, Not-in-family, White, Female,0,0,50, >50K
57, Private,249977,11, Husband, White, Male,0,0,40, <=50K
37, Private,286730,10, Unmarried, White, Female,0,0,40, <=50K
28, Private,212563,10, Unmarried, Black, Female,0,0,25, <=50K
30, Private,117747,9, Wife, Asian-Pac-Islander, Female,0,1573,35, <=50K
34, Local-gov,226296,13, Husband, White, Male,0,0,40, >50K
29, Local-gov,115585,10, Not-in-family, White, Male,0,0,50, <=50K
48, Self-emp-not-inc,191277,16, Husband, White, Male,0,1902,60, >50K
37, Private,202683,10, Husband, White, Male,0,0,48, >50K
48, Private,171095,12, Unmarried, White, Female,0,0,40, <=50K
32, Federal-gov,249409,9, Own-child, Black, Male,0,0,40, <=50K
76, Private,124191,14, Husband, White, Male,0,0,40, >50K
44, Private,198282,13, Husband, White, Male,15024,0,60, >50K
47, Self-emp-not-inc,149116,14, Not-in-family, White, Female,0,0,50, <=50K
20, Private,188300,10, Own-child, White, Female,0,0,40, <=50K
29, Private,103432,9, Not-in-family, White, Male,0,0,40, <=50K
32, Self-emp-inc,317660,9, Husband, White, Male,7688,0,40, >50K
17, ?,304873,6, Own-child, White, Female,34095,0,32, <=50K
30, Private,194901,7, Own-child, White, Male,0,0,40, <=50K
31, Local-gov,189265,9, Not-in-family, White, Female,0,0,40, <=50K
42, Private,124692,9, Husband, White, Male,0,0,40, <=50K
24, Private,432376,13, Other-relative, White, Male,0,0,40, <=50K
38, Private,65324,15, Husband, White, Male,0,0,40, >50K
56, Self-emp-not-inc,335605,9, Husband, White, Male,0,1887,50, >50K
28, Private,377869,10, Wife, White, Female,4064,0,25, <=50K
36, Private,102864,9, Own-child, White, Female,0,0,40, <=50K
53, Private,95647,5, Husband, White, Male,0,0,50, <=50K
56, Self-emp-inc,303090,10, Husband, White, Male,0,0,50, <=50K
49, Local-gov,197371,11, Husband, Black, Male,0,0,40, >50K
55, Private,247552,10, Husband, White, Male,0,0,56, <=50K
22, Private,102632,9, Not-in-family, White, Male,0,0,41, <=50K
21, Private,199915,10, Own-child, White, Female,0,0,40, <=50K
40, Private,118853,13, Husband, White, Male,0,0,60, <=50K
30, Private,77143,13, Own-child, Black, Male,0,0,40, <=50K
